field,count,"distinct_count","is_exact",max,mean,min,"numeric_count",stdev,values
"dl_rxpkts",35208,138,0,990,"935.6001760963418",846,35208,"22.182849466034348","[{""value"":""944"",""count"":2656},{""value"":""929"",""count"":1933},{""value"":""959"",""count"":1511},{""value"":""914"",""count"":1339},{""value"":""930"",""count"":1333},{""value"":""954"",""count"":1165},{""value"":""938"",""count"":1117},{""value"":""945"",""count"":1110},{""value"":""960"",""count"":1051},{""value"":""939"",""count"":976},{""value"":""924"",""count"":835},{""value"":""953"",""count"":787},{""value"":""923"",""count"":719},{""value"":""937"",""count"":702},{""value"":""915"",""count"":645},{""value"":""899"",""count"":627},{""value"":""974"",""count"":604},{""value"":""940"",""count"":593},{""value"":""936"",""count"":591},{""value"":""952"",""count"":585},{""value"":""955"",""count"":514},{""value"":""922"",""count"":512},{""value"":""908"",""count"":500},{""value"":""969"",""count"":472},{""value"":""943"",""count"":469},{""value"":""928"",""count"":465},{""value"":""909"",""count"":428},{""value"":""951"",""count"":417},{""value"":""968"",""count"":410},{""value"":""900"",""count"":395},{""value"":""950"",""count"":388},{""value"":""925"",""count"":383},{""value"":""935"",""count"":372},{""value"":""958"",""count"":370},{""value"":""921"",""count"":362},{""value"":""907"",""count"":319},{""value"":""970"",""count"":278},{""value"":""913"",""count"":261},{""value"":""920"",""count"":257},{""value"":""906"",""count"":255},{""value"":""942"",""count"":254},{""value"":""966"",""count"":251},{""value"":""884"",""count"":232},{""value"":""967"",""count"":232},{""value"":""910"",""count"":224},{""value"":""893"",""count"":220},{""value"":""956"",""count"":219},{""value"":""927"",""count"":203},{""value"":""934"",""count"":200},{""value"":""892"",""count"":197},{""value"":""975"",""count"":191},{""value"":""926"",""count"":181},{""value"":""894"",""count"":178},{""value"":""941"",""count"":178},{""value"":""957"",""count"":175},{""value"":""949"",""count"":172},{""value"":""965"",""count"":159},{""value"":""905"",""count"":147},{""value"":""898"",""count"":142},{""value"":""912"",""count"":139},{""value"":""885"",""count"":136},{""value"":""919"",""count"":135},{""value"":""948"",""count"":116},{""value"":""891"",""count"":103},{""value"":""973"",""count"":99},{""value"":""964"",""count"":95},{""value"":""911"",""count"":90},{""value"":""933"",""count"":85},{""value"":""895"",""count"":81},{""value"":""972"",""count"":66},{""value"":""897"",""count"":65},{""value"":""890"",""count"":61},{""value"":""904"",""count"":61},{""value"":""984"",""count"":61},{""value"":""932"",""count"":60},{""value"":""878"",""count"":57},{""value"":""896"",""count"":57},{""value"":""918"",""count"":55},{""value"":""879"",""count"":54},{""value"":""869"",""count"":53},{""value"":""947"",""count"":53},{""value"":""877"",""count"":49},{""value"":""982"",""count"":48},{""value"":""883"",""count"":47},{""value"":""971"",""count"":46},{""value"":""946"",""count"":45},{""value"":""963"",""count"":43},{""value"":""876"",""count"":37},{""value"":""931"",""count"":37},{""value"":""983"",""count"":34},{""value"":""985"",""count"":33},{""value"":""961"",""count"":31},{""value"":""917"",""count"":30},{""value"":""962"",""count"":28},{""value"":""916"",""count"":26},{""value"":""980"",""count"":26},{""value"":""903"",""count"":24},{""value"":""981"",""count"":23},{""value"":""870"",""count"":21},{""value"":""880"",""count"":21}]"
"dl_statStatus",35208,1,1,1792,1792,1792,35208,0,"[{""value"":""1792"",""count"":35208}]"
"dl_toolatepkts",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_tosmax",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_tosmin",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_ttlmax",35208,1,1,250,250,250,35208,0,"[{""value"":""250"",""count"":35208}]"
"dl_ttlmin",35208,1,1,250,250,250,35208,0,"[{""value"":""250"",""count"":35208}]"
"dl_vpriomax",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_vpriomin",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
eventtype,0,0,1,,,,0,,"[]"
